service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
L01a_195972,1,1,1,1,1,1,1,20230501,20231031
L01b_195973,1,1,1,1,1,1,1,20230501,20231031
L02_2a_195587,1,1,1,1,1,0,0,20230313,20230427
L02_2b_195588,1,1,1,1,1,0,0,20230313,20230427
L02_1a_195585,1,1,1,1,1,1,1,20230313,20230427
L02_1b_195586,1,1,1,1,1,1,1,20230313,20230427
L03c_195893_1,1,1,1,1,1,1,0,20230419,20230604
L03c_195896,1,1,1,1,1,1,0,20230605,20230901
L03c_195893_2,1,1,1,1,1,1,0,20230902,20231031
L03c_195892_1,0,0,0,0,0,0,1,20230418,20230604
L03c_195898,0,0,0,0,0,0,1,20230605,20230930
L03c_195892_2,0,0,0,0,0,0,1,20231001,20231031
L03_1a_195343,1,1,1,1,1,0,0,20230101,20231231
L03_1b_195344,1,1,1,1,1,0,0,20230101,20231231
L05a_195979,1,1,1,1,1,1,1,20230505,20231031
L05b_195980,1,1,1,1,1,1,1,20230505,20231031
L07a_195987,1,1,1,1,1,1,1,20230505,20231031
L07b_195988,1,1,1,1,1,1,1,20230505,20231031
L08_c_195086,1,1,1,1,1,0,0,20221105,20230430
L08_c_195087,0,0,0,0,0,1,1,20221105,20230430
L09a_195813,1,1,1,1,1,1,1,20230428,20231031
L09b_195814,1,1,1,1,1,1,1,20230428,20231031
L10c_195842,1,1,1,1,1,1,1,20230411,20230504
L10Ea_195921,1,1,1,1,1,1,1,20230424,20231031
L10Eb_195922,1,1,1,1,1,1,1,20230424,20231031
L11a_195054,1,0,1,0,1,0,0,20221101,20230505
L11a_195990,1,1,1,1,1,1,1,20230506,20231031
L11b_195055,1,0,1,0,1,0,0,20221101,20230505
L11b_195991,1,1,1,1,1,1,1,20230506,20231031
L12Ac_195312,1,1,1,1,1,1,0,20230101,20231231
L12Ac_195313,0,0,0,0,0,0,1,20230101,20231231
L12Bc_195321,1,1,1,1,1,1,0,20230101,20231231
L12Bc_195322,0,0,0,0,0,0,1,20230101,20231231
L13c_194915,1,1,1,1,1,0,0,20221101,20230430
L13c_195920,1,1,1,1,1,0,0,20230501,20230501
L13c_195917,1,1,1,1,1,0,0,20230502,20231031
L13c_194916,0,0,0,0,0,1,0,20221101,20230430
L13c_195918,0,0,0,0,0,1,0,20230502,20231031
