stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
32,1102,Ronda de Ses Mines (1102),,39.02425,1.555819,1930,https://eivissa.tib.org/web/cie/parades/-/parada/1102
33,2,Policia Municipal (2),,38.978405,1.316333,1712,https://eivissa.tib.org/web/cie/parades/-/parada/2
34,1103,Ronda de Ses Mines (1103),,39.024174,1.555631,1947,https://eivissa.tib.org/web/cie/parades/-/parada/1103
35,3,ses Païsses (3),,38.976955,1.323258,1942,https://eivissa.tib.org/web/cie/parades/-/parada/3
36,4,Can Guillemó (4),,38.97481,1.332832,2161,https://eivissa.tib.org/web/cie/parades/-/parada/4
37,5,"s'Olivera, can Tomàs (5)",,38.973347,1.340463,1672,https://eivissa.tib.org/web/cie/parades/-/parada/5
38,1098,pont d'en Llàtzer (1098),,38.979935,1.467937,1970,https://eivissa.tib.org/web/cie/parades/-/parada/1098
39,6,"sa Casilla, Sant Antoni (6)",,38.97145,1.349374,2180,https://eivissa.tib.org/web/cie/parades/-/parada/6
40,1099,pont d'en Llàtzer (1099),,38.977436,1.465592,1989,https://eivissa.tib.org/web/cie/parades/-/parada/1099
41,7,Cooperativa Hostelera (7),,38.967655,1.367733,2011,https://eivissa.tib.org/web/cie/parades/-/parada/7
42,8,Can Begot (8),,38.965767,1.374881,1841,https://eivissa.tib.org/web/cie/parades/-/parada/8
43,9,Can Parentona (9),,38.96435,1.384445,2170,https://eivissa.tib.org/web/cie/parades/-/parada/9
44,10,Sant Rafel (10),,38.96166,1.39575,1650,https://eivissa.tib.org/web/cie/parades/-/parada/10
45,11,Privilege (11),,38.95734,1.402736,1659,https://eivissa.tib.org/web/cie/parades/-/parada/11
46,1088,Lava Park (1088),,38.98507,1.499619,1779,https://eivissa.tib.org/web/cie/parades/-/parada/1088
47,12,Can Pep Xico (12),,38.950394,1.407668,1864,https://eivissa.tib.org/web/cie/parades/-/parada/12
48,1089,Niu Blau (1089),,38.995285,1.55361,2017,https://eivissa.tib.org/web/cie/parades/-/parada/1089
49,13,Amnesia (13),,38.94817,1.408639,1777,https://eivissa.tib.org/web/cie/parades/-/parada/13
50,1090,Niu Blau (1090),,38.995247,1.553402,1584,https://eivissa.tib.org/web/cie/parades/-/parada/1090
51,14,Porcelanosa (14),,38.94351,1.411343,1761,https://eivissa.tib.org/web/cie/parades/-/parada/14
53,15,sa Coma (15),,38.934822,1.41652,1574,https://eivissa.tib.org/web/cie/parades/-/parada/15
54,17,IES sa Blanca Dona (17),,38.92081,1.425079,2066,https://eivissa.tib.org/web/cie/parades/-/parada/17
55,1116,Sant Llorenç (1116),,39.029655,1.477207,1637,https://eivissa.tib.org/web/cie/parades/-/parada/1116
56,16,Can Negre (16),,38.927116,1.421298,2091,https://eivissa.tib.org/web/cie/parades/-/parada/16
58,1113,sa Torre (1113),,38.984196,1.515455,2140,https://eivissa.tib.org/web/cie/parades/-/parada/1113
59,21,Recinte Firal (21),,38.918507,1.426722,1868,https://eivissa.tib.org/web/cie/parades/-/parada/21
60,1112,sa Torre (1112),,38.98415,1.515561,2162,https://eivissa.tib.org/web/cie/parades/-/parada/1112
62,1115,Sant Joan (1115),,39.077312,1.512538,1808,https://eivissa.tib.org/web/cie/parades/-/parada/1115
63,23,Can Negre (23),,38.927834,1.421123,2053,https://eivissa.tib.org/web/cie/parades/-/parada/23
65,22,IES sa Blanca Dona (22),,38.921825,1.424704,1913,https://eivissa.tib.org/web/cie/parades/-/parada/22
67,25,Porcelanosa (25),,38.944187,1.411381,2018,https://eivissa.tib.org/web/cie/parades/-/parada/25
69,24,sa Coma (24),,38.935013,1.416773,2150,https://eivissa.tib.org/web/cie/parades/-/parada/24
70,1111,sa Ferreria (1111),,39.059074,1.49414,1645,https://eivissa.tib.org/web/cie/parades/-/parada/1111
71,27,Bombers (27),,38.95209,1.407386,1918,https://eivissa.tib.org/web/cie/parades/-/parada/27
72,1110,sa Ferreria (1110),,39.059006,1.494186,1664,https://eivissa.tib.org/web/cie/parades/-/parada/1110
73,26,Amnesia (26),,38.947006,1.409773,1767,https://eivissa.tib.org/web/cie/parades/-/parada/26
74,1105,Aparcament des Gorg (1105),,38.917213,1.435894,1833,https://eivissa.tib.org/web/cie/parades/-/parada/1105
75,29,Sant Rafel (29),,38.96206,1.395331,1819,https://eivissa.tib.org/web/cie/parades/-/parada/29
76,1104,Suministros Ibiza (1104),,38.918087,1.438687,2169,https://eivissa.tib.org/web/cie/parades/-/parada/1104
77,28,Privilege (28),,38.957584,1.402911,1855,https://eivissa.tib.org/web/cie/parades/-/parada/28
78,1107,S'Hort Nou (1107),,38.979343,1.415279,1703,https://eivissa.tib.org/web/cie/parades/-/parada/1107
79,31,Can Begot (31),,38.96607,1.374977,1830,https://eivissa.tib.org/web/cie/parades/-/parada/31
80,1106,S'Hort Nou (1106),,38.97946,1.415412,1657,https://eivissa.tib.org/web/cie/parades/-/parada/1106
81,30,Can Parentona (30),,38.964695,1.384277,2157,https://eivissa.tib.org/web/cie/parades/-/parada/30
83,34,"s'Olivera, can Tomàs (34)",,38.97358,1.340127,2002,https://eivissa.tib.org/web/cie/parades/-/parada/34
85,35,Can Guillemó (35),,38.975452,1.331233,2131,https://eivissa.tib.org/web/cie/parades/-/parada/35
87,32,Cooperativa Hostelera (32),,38.967957,1.367665,1627,https://eivissa.tib.org/web/cie/parades/-/parada/32
88,33,"sa Casilla, Sant Antoni (33)",,38.97166,1.349121,1661,https://eivissa.tib.org/web/cie/parades/-/parada/33
90,38,Can Bonet (38),,38.97244,1.331688,2004,https://eivissa.tib.org/web/cie/parades/-/parada/38
91,39,Los Troncos (39),,38.972904,1.328599,1774,https://eivissa.tib.org/web/cie/parades/-/parada/39
93,36,ses Païsses (36),,38.977142,1.32313,2029,https://eivissa.tib.org/web/cie/parades/-/parada/36
95,37,Policia Municipal (37),,38.978554,1.316231,1857,https://eivissa.tib.org/web/cie/parades/-/parada/37
97,42,Cementeri - Caló des Moro (42),,38.986042,1.299297,1622,https://eivissa.tib.org/web/cie/parades/-/parada/42
99,43,IES Quartó de Portmany (43),,38.98696,1.307523,2151,https://eivissa.tib.org/web/cie/parades/-/parada/43
101,40,Can Guasch (40),,38.974762,1.324471,1697,https://eivissa.tib.org/web/cie/parades/-/parada/40
104,1122,Taller Marí (1122),,39.045113,1.491539,1788,https://eivissa.tib.org/web/cie/parades/-/parada/1122
106,1123,IES Xarc (1123),,38.988213,1.542213,1940,https://eivissa.tib.org/web/cie/parades/-/parada/1123
107,44,Can Coix (44),,38.994114,1.308786,1716,https://eivissa.tib.org/web/cie/parades/-/parada/44
108,1121,Taller Marí (1121),,39.045116,1.491611,1734,https://eivissa.tib.org/web/cie/parades/-/parada/1121
109,45,IES Quartó de Portmany (45),,38.987064,1.307416,1897,https://eivissa.tib.org/web/cie/parades/-/parada/45
110,1150,Càmping es Canar (1150),,39.004223,1.573327,31,https://eivissa.tib.org/web/cie/parades/-/parada/1150
111,1149,Can Marines (1149),,39.00141,1.565035,1787,https://eivissa.tib.org/web/cie/parades/-/parada/1149
112,49,Los Troncos (49),,38.972843,1.328583,1839,https://eivissa.tib.org/web/cie/parades/-/parada/49
114,48,Can Guasch (48),,38.974754,1.324402,1875,https://eivissa.tib.org/web/cie/parades/-/parada/48
125,1032,Can Coroner (1032),,39.050884,1.490819,2052,https://eivissa.tib.org/web/cie/parades/-/parada/1032
126,1033,Can Coroner (1033),,39.05259,1.491772,2111,https://eivissa.tib.org/web/cie/parades/-/parada/1033
127,1037,Can Creu (1037),,38.97425,1.463527,1945,https://eivissa.tib.org/web/cie/parades/-/parada/1037
128,1038,Can Durban (1038),,38.97675,1.470958,1921,https://eivissa.tib.org/web/cie/parades/-/parada/1038
129,1039,Can Durban (1039),,38.976795,1.470773,1939,https://eivissa.tib.org/web/cie/parades/-/parada/1039
130,1024,Ca n'Albarca (1024),,38.97679,1.453945,1735,https://eivissa.tib.org/web/cie/parades/-/parada/1024
131,1025,Ca n'Albarca (1025),,38.976738,1.453985,1751,https://eivissa.tib.org/web/cie/parades/-/parada/1025
132,1028,Can Bernat (1028),,38.97679,1.436101,1971,https://eivissa.tib.org/web/cie/parades/-/parada/1028
133,1029,Can Bernat (1029),,38.976715,1.43598,1991,https://eivissa.tib.org/web/cie/parades/-/parada/1029
134,1030,Can Castelló (1030),,38.95336,1.44516,2116,https://eivissa.tib.org/web/cie/parades/-/parada/1030
135,1031,Can Castelló (1031),,38.952988,1.445018,2174,https://eivissa.tib.org/web/cie/parades/-/parada/1031
